agent_id,total_calls,completed,avg_duration,median_duration,short_18s,long_5m,completion_rate_%,short_18s_%,long_5m_%
670d74e804b9e57411b63d3d,2,2,,,0.0,0.0,100.0,0.0,0.0
6717999d495a2f11290d1301,4,2,1.5,1.5,0.0,0.0,50.0,0.0,0.0
6717a416495a2f48540d131b,1,1,,,0.0,0.0,100.0,0.0,0.0
6717a778d28b56fb3c2dd794,3,3,1.8,1.8,0.0,0.0,100.0,0.0,0.0
6717a7cfd28b56050f2dd797,1,1,0.08,0.08,1.0,0.0,100.0,100.0,0.0
6717a8a149271a0303c4e00a,5,4,3.3225,3.53,0.0,0.0,80.0,0.0,0.0
6717a9dce8373a22b88d0fb0,2,2,0.415,0.415,0.5,0.0,100.0,50.0,0.0
6717add7d28b563fff2dd7b2,11,10,0.9478,0.6,0.18181818181818182,0.0,90.91,18.18,0.0
6717afe7d28b5682bc2dd7be,2,1,0.72,0.72,0.0,0.0,50.0,0.0,0.0
6717bbb3d28b56a8302dd7f8,1,0,,,0.0,0.0,0.0,0.0,0.0
6717bf09d28b56937a2dd808,1,1,,,0.0,0.0,100.0,0.0,0.0
6717c27a8d0cfa3b943b89c9,8,5,0.282,0.23,0.375,0.0,62.5,37.5,0.0
6717c7ced28b567c252dd83d,3,3,0.74,0.87,0.3333333333333333,0.0,100.0,33.33,0.0
6717ca146a676592d8fea6f4,1,1,0.7,0.7,0.0,0.0,100.0,0.0,0.0
6717ca95e8373ad2968d1055,2,2,0.67,0.67,0.0,0.0,100.0,0.0,0.0
6717d2df3ebfed250a021cd2,2,1,1.17,1.17,0.0,0.0,50.0,0.0,0.0
6717d415e8373a274b8d109c,2,2,,,0.0,0.0,100.0,0.0,0.0
6717d497495a2f5f330d1402,7,7,1.32,1.35,0.0,0.0,100.0,0.0,0.0
6717d74bd28b5656a92dd8bd,2,2,,,0.0,0.0,100.0,0.0,0.0
6717d9de495a2f0e200d142d,28,28,1.0995,1.07,0.07142857142857142,0.0,100.0,7.14,0.0
6717dc29e8373a30c38d10f7,1,1,0.42,0.42,0.0,0.0,100.0,0.0,0.0
6717de74e8373a00ec8d110a,2,0,,,0.0,0.0,0.0,0.0,0.0
6717df05495a2fa7d00d1454,1,1,,,0.0,0.0,100.0,0.0,0.0
6717e021e8373a28f48d1121,3,3,0.81,0.8,0.0,0.0,100.0,0.0,0.0
6717e318d28b560e532dd92e,2,2,2.315,2.315,0.0,0.0,100.0,0.0,0.0
6717eb23495a2fbeff0d14b8,3,3,0.4967,0.68,0.3333333333333333,0.0,100.0,33.33,0.0
6717eb8ee8373af4228d1178,1,1,0.08,0.08,1.0,0.0,100.0,100.0,0.0
6717edffc775a55399e61d88,1,1,,,0.0,0.0,100.0,0.0,0.0
6717eee0e8373a09338d119a,1,1,,,0.0,0.0,100.0,0.0,0.0
6717f01ce8373a32748d11a4,3,3,0.78,0.78,0.0,0.0,100.0,0.0,0.0
6717f070c775a5b862e61d9c,7,7,0.6743,0.6,0.14285714285714285,0.0,100.0,14.29,0.0
6717f1b1e8373a40c78d11bb,2,2,1.685,1.685,0.5,0.0,100.0,50.0,0.0
6717f1c6d28b565b212dd9b4,1,1,1.08,1.08,0.0,0.0,100.0,0.0,0.0
6717f2b3e8373a14478d11c7,5,4,0.3075,0.23,0.6,0.0,80.0,60.0,0.0
6717f536e8373a71b78d11f3,1,1,0.38,0.38,0.0,0.0,100.0,0.0,0.0
6717f827495a2f36730d1535,10,9,1.0178,0.98,0.2,0.0,90.0,20.0,0.0
6717f8dbc42d33fbf924cfea,1,1,0.1,0.1,1.0,0.0,100.0,100.0,0.0
6717fb6ad28b56277b2dda15,3,3,0.3867,0.38,0.0,0.0,100.0,0.0,0.0
6717fc85d28b565fdd2dda23,5,5,0.63,0.55,0.2,0.0,100.0,20.0,0.0
6717fd6d495a2f669e0d155a,4,4,,,0.0,0.0,100.0,0.0,0.0
6717fdf4d28b56ae812dda30,1,1,0.6,0.6,0.0,0.0,100.0,0.0,0.0
6718065a495a2fdf700d15a2,1,1,0.08,0.08,1.0,0.0,100.0,100.0,0.0
67180691d28b5636ea2dda72,2,2,0.595,0.595,0.5,0.0,100.0,50.0,0.0
67180a73495a2f94860d15c7,141,130,0.9147,0.815,0.0425531914893617,0.0,92.2,4.26,0.0
67180bf3d28b56cbdc2ddaa7,1,0,,,0.0,0.0,0.0,0.0,0.0
67181893495a2f32ba0d165f,11,8,,,0.0,0.0,72.73,0.0,0.0
6718196fd28b56de2d2ddb29,2,0,,,0.0,0.0,0.0,0.0,0.0
671819ade8373a005e8d132d,1,0,,,0.0,0.0,0.0,0.0,0.0
67181cecd28b56d05f2ddb4d,14,12,0.3291,0.08,0.5714285714285714,0.0,85.71,57.14,0.0
67182407495a2ff5fa0d16d1,1,1,0.1,0.1,1.0,0.0,100.0,100.0,0.0
67182776e8373a77348d1399,1,1,0.27,0.27,1.0,0.0,100.0,100.0,0.0
671829ade8373a47f78d13ad,3,2,0.13,0.13,0.3333333333333333,0.0,66.67,33.33,0.0
67182a1a495a2f377a0d16f6,1,0,,,0.0,0.0,0.0,0.0,0.0
67183f30495a2f25bb0d1781,5,5,0.57,0.57,0.0,0.0,100.0,0.0,0.0
67184241d28b5636892ddc42,2,2,0.175,0.175,1.0,0.0,100.0,100.0,0.0
67184d00e8373acf798d1468,5,4,1.4975,1.385,0.0,0.0,80.0,0.0,0.0
671856ee495a2f388c0d17e3,1,1,0.18,0.18,1.0,0.0,100.0,100.0,0.0
67185c7cd28b562e312ddcad,4,4,3.055,3.55,0.25,0.0,100.0,25.0,0.0
671860d5d28b5669b32ddcc2,1,1,0.53,0.53,0.0,0.0,100.0,0.0,0.0
67186a062c2f16f8ee2c5c56,1,1,,,0.0,0.0,100.0,0.0,0.0
67187be9d28b56381f2ddd1b,1,0,,,0.0,0.0,0.0,0.0,0.0
67188375d28b564a982ddd36,15,15,0.7785,0.52,0.3333333333333333,0.0,100.0,33.33,0.0
671889e6495a2f50aa0d188d,1,0,,,0.0,0.0,0.0,0.0,0.0
67189505d28b5654012ddd5b,3,3,0.13,0.13,0.3333333333333333,0.0,100.0,33.33,0.0
6718bcf02c2f1623af2c5d20,5,1,,,0.0,0.0,20.0,0.0,0.0
6718dff4d5c22fda3633ada6,2,2,0.73,0.73,0.5,0.0,100.0,50.0,0.0
6718e2a451528a258335f8c8,2,2,0.965,0.965,0.5,0.0,100.0,50.0,0.0
6718e829c9cd7e63382e2716,2,2,0.1,0.1,0.5,0.0,100.0,50.0,0.0
6718f494c9cd7e5c8b2e2740,2,0,,,0.0,0.0,0.0,0.0,0.0
